aデータ,bデータ
41.7,22.6
18.4,50.0
13.1,23.0
25.0,8.3
21.2,21.2
16.0,19.9
34.9,20.6
25.2,18.7
24.8,16.1
21.5,18.6
23.4,8.8
18.9,17.2
10.8,14.9
21.0,10.5
27.5,50.0
17.5,29.0
13.5,23.0
28.7,33.3
14.8,29.4
19.1,21.0
28.6,23.8
13.1,19.1
19.0,20.4
11.3,29.1
13.3,19.3
22.4,23.1
20.1,19.6
18.2,19.4
22.9,38.7
20.6,18.7
25.0,14.6
12.8,20.0
34.9,20.5
23.7,20.1
50.0,23.6
29.0,16.8
30.1,5.6
22.0,50.0
15.6,14.5
23.3,13.3
30.1,23.9
14.3,20.0
22.8,19.8
50.0,13.8
20.8,16.5
6.3,21.6
34.9,20.3
32.4,17.0
19.9,11.8
20.3,27.5
17.8,15.6
23.1,23.1
20.4,24.3
23.2,42.8
7.0,15.6
16.8,21.7
46.7,17.1
50.0,17.2
22.9,15.0
23.9,21.7
21.4,18.6
21.7,21.0
15.4,33.1
15.3,31.5
23.1,20.1
23.9,29.8
19.4,15.2
11.9,15.0
17.8,27.5
31.5,22.6
33.8,20.0
20.8,21.4
19.8,23.5
22.4,31.2
5.0,23.7
24.5,7.4
19.4,48.3
15.1,24.4
18.2,22.6
19.3,18.3
27.1,23.3
20.7,17.1
37.6,27.9
11.7,44.8
33.4,50.0
30.1,23.0
21.4,21.4
45.4,10.2
20.1,23.3
20.8,23.2
26.4,18.9
10.4,13.4
21.8,21.9
32.0,24.8
21.7,11.9
18.4,24.3
37.9,13.8
17.8,24.7
28.0,14.1
28.2,18.7
36.0,28.1
18.9,19.8
15.0,26.7
22.5,21.7
30.7,22.0
20.0,22.9
19.1,10.4
23.3,21.9
26.6,20.6
21.1,26.4
19.7,41.3
20.0,17.2
12.1,27.1
7.2,20.4
14.2,16.5
17.3,24.4
27.5,8.4
22.2,23.0
10.9,9.7
19.2,50.0
32.0,30.5
14.5,12.3
24.7,19.4
12.6,21.2
24.0,20.3
24.1,18.8
50.0,33.4
16.1,18.5
43.8,19.6
26.6,33.2
36.1,13.1
21.8,7.5
29.9,13.6
50.0,17.4
44.0,8.4
20.6,35.4
19.6,24.0
28.4,13.4
19.1,26.2
22.3,7.2
20.9,13.1
28.4,24.5
14.4,37.2
32.7,25.0
13.8,24.1
8.5,16.6
22.5,32.9
35.1,36.2
31.6,11.0
17.8,7.2
15.6,22.8
20.7,28.7
39.8,14.4
17.8,24.4
19.6,18.1
14.9,22.5
22.0,20.5
48.8,15.2
25.0,17.4
48.5,13.6
23.9,8.7
20.3,18.2
15.2,35.4
10.5,31.7
19.0,33.0
16.4,22.2
8.8,20.4
22.0,23.9
24.8,25.0
50.0,12.7
19.3,29.1
22.7,12.0
37.3,17.7
31.6,27.0
8.3,20.6
23.1,10.2
50.0,17.5
13.9,19.7
16.1,29.8
25.3,20.5
19.5,14.9
10.2,10.9
19.9,19.5
35.2,22.7
13.4,19.5
24.7,24.6
11.5,25.0
23.4,24.5
16.7,50.0
15.4,14.3
18.0,11.8
28.5,31.0
18.4,28.7
32.5,16.2
50.0,43.5
50.0,25.0
19.6,22.0
17.6,19.9
42.3,22.1
14.5,46.0
13.2,22.9
16.2,20.2
29.6,43.1
16.7,34.6
13.0,13.8
22.3,24.3
13.4,21.5
5.0,24.4
19.5,21.2
14.6,23.8
22.0,26.6
8.1,25.1
24.6,9.6
33.2,19.4
20.6,19.4
14.1,9.5
14.1,14.0
21.1,26.5
30.3,13.8
23.7,34.7
21.4,16.3
18.3,21.7
8.5,17.5
22.8,15.6
22.8,20.9
22.2,21.7
13.9,12.7
25.0,18.5
18.5,23.7
7.0,19.3
22.6,12.7
20.1,21.6
30.8,23.2
31.1,29.6
23.8,21.2
12.5,23.8
23.6,17.1
23.2,22.0
24.2,36.5
22.2,18.8
27.9,21.9
22.2,23.1
33.1,20.2
19.3,17.4
18.9,37.0
22.6,24.1
50.0,36.2
24.8,15.7
18.5,32.2
36.4,13.5
19.2,17.9
16.6,13.3
23.1,11.7
